id,label
1001,compactification geometry and duality
1002,domain walls and massive gauged supergravity potentials
1003,comment on metric fluctuations in brane worlds
1004,moving mirrors and thermodynamic paradoxes
1005,bundles of chiral blocks and boundary conditions in cft
1006,questions in quantum physics
1007,topological defects in 3-d euclidean gravity
1008,n 0 supersymmetry and the non-relativistic monopole
1009,gluon pair production from space-time dependent chromofield
1010,instantons euclidean supersymmetry and wick rotations
1011,noncommutativities of d-branes and theta changing degrees of freedom
1012,boundary liouville field theory i boundary state and boundary two-point
1013,gravity and the newtonian limit in the randall-sundrum model
1014,gauge theories in local causal perturbation theory
1015,canonical quantization and topological theories
1016,a comment on the holographic renormalization group and the soft dilaton
1017,the interaction of two hopf solitons
1018,solitons in brane worlds ii
1019,casimir energy of a dilute dielectric ball with uniform velocity of
1020,some uses of moduli spaces in particle and field theory
1021,a two-loop test of buscher's t-duality i
1022,supersymmetry and bogomol'nyi equations in the maxwell chern-simons
1023,the string uncertainty relations follow from the new relativity
1024,bps states of d 4 n 1 supersymmetry
1025,collapsing d-branes in calabi-yau moduli space
1026,poisson-sigma models
1027,bi-local fields in noncommutative field theory
1028,tree amplitudes and linearized susy invariants in d 11 supergravity
1029,type i and real algebraic geometry
1030,a geometric discretisation scheme applied to the abelian chern-simons
1031,star-product and massless free field dynamics in ads 4
1032,noncommutative yang-mills from equivalence of star products
1033,universal aspects of gravity localized on thick branes
1034,vacuum polarization and energy conditions at a planar frequency
1035,super-poincare covariant quantization of the superstring
1036,dynamics of supersymmetric su n c and usp 2n c gauge theories
1037,boundary states in gepner models
1038,on the non-perturbative properties of the yang-mills vacuum and the
1039,radiative contributions to the effective action of self-interacting
1040,quantization of fields over de sitter space by the method of generalized
1041,conformal anomaly of 2 0 tensor multiplet in six dimensions and
1042,running couplings in hamiltonians
1044,tachyon condensation and boundary states in bosonic string
1045,a new polarized version of the casimir effect is measurable
1046,the rest-frame darwin potential from the lienard-wiechert solution in
1047,large-n gauge theories
1048,the principle of the fermionic projector introduction and continuum
1049,gauge and gravitational interactions of non-bps d-particles
1050,once again on the equivalence theorem
1051,hyperk ahler quotients mirror symmetry and f-theory
1052,on the schrodinger equation for the minisuperspace models
1053,strings in ads 3 and the sl 2 r wzw model part 1
1054,holography singularities on orbifolds and 4d n 2 sqcd
1055,discrete torsion ads cft and duality
1056,on open closed string duality
1057,d0-d4 system and qcd 3 1
1060,non-perturbative scaling in the scalar theory
1061,biconformal matter actions
1062,gauge and gravitational couplings from modular orbits in orbifold
1063,modular invariance of string theory on ads 3
1064,the effect of different regulators in the non-local field-antifield
1065,on domain-wall qft dualities in various dimensions
1066,brane-antibrane constructions
1067,cubic root of klein-gordon equation
1068,supersymmetric duality rotations
1069,quantization of fields over de sitter space by the method of generalized
1070,magnetic catalysis of chiral symmetry breaking in gauge theories
1071,supersymmetry and the brane world
1072,twistors and actions on coset manifolds
1073,dirac monopole in non-commutative space
1074,algebraic linearization of dynamics of calogero type for any coxeter
1075,the rp 2 valued sigma and baby skyrme models
1076,generalized two-dimensional yang-mills theory is a matrix string theory
1077,open-string models with broken supersymmetry
1080,three dimensional gravity from iso 2 1 coset models
1081,brst formalism and zero locus reduction
1082,domain walls and superpotentials from m theory on calabi-yau three-folds
